Designator,Mid X,Mid Y,Rotation,Layer
Q42,187.400001,-68.2,270.0,top
Q43_2,149.700118,-58.259839,0.0,top
Q43,195.949999,-64.5,180.0,top
Q44_2,149.700118,-58.259839,0.0,bottom
Q44,194.900001,-68.2,270.0,top
Q45_2,156.842975,-58.259839,0.0,top
Q45,203.449999,-64.5,180.0,top
Q46_2,156.842975,-58.259839,0.0,bottom
Q46,202.400001,-68.2,270.0,top
Q47_2,163.985832,-58.259839,0.0,top
Q47,210.949999,-64.5,180.0,top
Q48_2,163.985832,-58.259839,0.0,bottom
Q48,209.900001,-68.2,270.0,top
Q49_2,113.985833,-65.402696,0.0,top
Q49,173.449999,-71.907501,180.0,top
Q5_2,128.271547,-43.974125,0.0,top
Q5,188.45,-41.9,180.0,top
Q50_2,113.985833,-65.402696,0.0,bottom
Q50,172.400001,-75.607501,270.0,top
Q51_2,121.116786,-65.402696,0.0,top
Q51,180.949999,-71.907501,180.0,top
Q52_2,121.116786,-65.402696,0.0,bottom
Q52,179.900001,-75.607501,270.0,top
Q53_2,128.271547,-65.402696,0.0,top
Q53,188.449999,-71.907501,180.0,top
Q54_2,128.271547,-65.402696,0.0,bottom
Q54,187.400001,-75.607501,270.0,top
Q55_2,135.414404,-65.402696,0.0,top
Q55,195.949999,-71.907501,180.0,top
Q56_2,135.414404,-65.402696,0.0,bottom
Q56,194.900001,-75.607501,270.0,top
Q57_2,142.557261,-65.402696,0.0,top
Q57,203.449999,-71.907501,180.0,top
Q58_2,142.557261,-65.402696,0.0,bottom
Q58,202.400001,-75.607501,270.0,top
Q59_2,149.700118,-65.402696,0.0,top
Q59,210.949999,-71.907501,180.0,top
Q6_2,128.271547,-43.974125,0.0,bottom
Q6,187.400001,-45.6,270.0,top
Q60_2,149.700118,-65.402696,0.0,bottom
Q60,209.900001,-75.607501,270.0,top
Q61_2,156.842975,-65.402696,0.0,top
Q61,173.449999,-79.4,180.0,top
Q62_2,156.842975,-65.402696,0.0,bottom
Q62,172.400001,-83.1,270.0,top
Q63_2,163.985832,-65.402696,0.0,top
Q63,180.949999,-79.4,180.0,top
Q64_2,163.985832,-65.402696,0.0,bottom
Q64,179.900001,-83.1,270.0,top
Q65_2,113.985833,-72.545553,0.0,top
Q65,188.449999,-79.4,180.0,top
Q66_2,113.985833,-72.545553,0.0,bottom
Q66,187.400001,-83.1,270.0,top
Q67_2,121.12869,-72.545553,0.0,top
Q67,195.949999,-79.4,180.0,top
Q68_2,121.12869,-72.545553,0.0,bottom
Q68,194.900001,-83.1,270.0,top
Q69_2,128.271547,-72.545553,0.0,top
Q69,203.449999,-79.4,180.0,top
Q7_2,135.414404,-43.974125,0.0,top
Q7,195.95,-41.9,180.0,top
Q70_2,128.271547,-72.545553,0.0,bottom
Q70,202.400001,-83.1,270.0,top
Q71_2,135.414404,-72.545553,0.0,top
Q71,210.949999,-79.4,180.0,top
Q72_2,135.414404,-72.545553,0.0,bottom
Q72,209.900001,-83.1,270.0,top
Q73,142.557261,-72.545553,0.0,top
Q74,142.557261,-72.545553,0.0,bottom
Q75,149.700118,-72.545553,0.0,top
Q76,149.700118,-72.545553,0.0,bottom
Q77,156.842975,-72.545553,0.0,top
Q78,156.842975,-72.545553,0.0,bottom
Q79,163.985832,-72.545553,0.0,top
Q8_2,135.414404,-43.974125,0.0,bottom
Q8,194.900001,-45.6,270.0,top
Q80,163.985832,-72.545553,0.0,bottom
Q81,113.985833,-79.68841,0.0,top
Q82,113.985833,-79.68841,0.0,bottom
Q83,121.12869,-79.68841,0.0,top
Q84,121.12869,-79.68841,0.0,bottom
Q85,128.271547,-79.68841,0.0,top
Q86,128.271547,-79.68841,0.0,bottom
Q87,135.414404,-79.68841,0.0,top
Q88,135.414404,-79.68841,0.0,bottom
Q89,142.557261,-79.68841,0.0,top
Q9_2,142.557261,-43.974125,0.0,top
